idsbr,latitude,longitude,geocode_status,geom_wkt
14373149,0.2821070,109.0631000,0,"POINT(109.0631 0.282107)"
14373248,0.4278640,108.9458000,0,"POINT(108.9458 0.427864)"
14373621,0.1993270,109.1476000,0,"POINT(109.1476 0.199327)"
14373645,0.0394680,109.2602000,0,"POINT(109.2602 0.039468)"
14373701,0.3698450,108.9581000,0,"POINT(108.9581 0.369845)"
14374704,0.3401380,109.1576000,0,"POINT(109.1576 0.340138)"
14375023,0.0792730,109.1893000,0,"POINT(109.1893 0.079273)"
14375271,0.5276590,108.9157000,0,"POINT(108.9157 0.527659)"
14375374,0.4454890,108.9655000,0,"POINT(108.9655 0.445489)"
14375598,0.3438160,109.2817000,0,"POINT(109.2817 0.343816)"
14376153,0.3618160,108.9579000,0,"POINT(108.9579 0.361816)"
14376164,0.4965950,108.9157000,0,"POINT(108.9157 0.496595)"
14376322,0.2795700,109.0767000,0,"POINT(109.0767 0.27957)"
14376596,0.2792720,109.0878000,0,"POINT(109.0878 0.279272)"
14376667,0.3578080,108.9818000,0,"POINT(108.9818 0.357808)"
14376770,0.3448130,109.2118000,0,"POINT(109.2118 0.344813)"
14377029,0.0701540,109.1928000,0,"POINT(109.1928 0.070154)"
14377371,0.0901580,109.1765000,0,"POINT(109.1765 0.090158)"
14378244,0.3425390,109.2128000,0,"POINT(109.2128 0.342539)"
14378764,0.4385950,109.2438000,0,"POINT(109.2438 0.438595)"
14378816,0.4338020,108.9645000,0,"POINT(108.9645 0.433802)"
14380066,0.3276220,108.9751000,0,"POINT(108.9751 0.327622)"
14380150,0.3359360,109.2153000,0,"POINT(109.2153 0.335936)"
14380550,0.4056440,108.9954000,0,"POINT(108.9954 0.405644)"
14381133,0.3520860,108.9558000,0,"POINT(108.9558 0.352086)"
14381641,0.1449910,109.1608000,0,"POINT(109.1608 0.144991)"
14381984,0.4288400,108.9458000,0,"POINT(108.9458 0.42884)"
14382044,0.2799620,109.0733000,0,"POINT(109.0733 0.279962)"
14382055,0.3676330,108.9638000,0,"POINT(108.9638 0.367633)"
14382176,0.1557810,109.1964000,0,"POINT(109.1964 0.155781)"
14382342,0.4181490,108.9773000,0,"POINT(108.9773 0.418149)"
14382806,0.3663950,108.9562000,0,"POINT(108.9562 0.366395)"
