kk,gid,ikn,bstt,luas,bsbtt,idsls,kdkab,kdkec,kdsls,nmkab,nmkec,nmsls,bstt_k,kddesa,kdprov,khusus,muatan,nmdesa,nmprov,posisi,rw_dki,segmen,sumber,dom_sls,periode,tingkat,idsubsls,kdsubsls,nm_gedung,wil_campur
,"617406","0",,2.66010454508013,,"61041200090006","04","120","0006",MEMPAWAH,TOHO,RT 006 RW 01 DUSUN TOHO LIAR,,"009","61",,,TOHO ILIR,KALIMANTAN BARAT,,,,,,2024_1,,"6104120009000600","00",,
,"617405","0",,7.67706277255011,,"61041210030011","04","121","0011",MEMPAWAH,SADANIANG,RT 012 RW 03 DUSUN BAWING,,"003","61",,,BUMBUN,KALIMANTAN BARAT,,,,,,2024_1,,"6104121003001100","00",,
,"617404","0",,3.4960166763694,,"61041210030010","04","121","0010",MEMPAWAH,SADANIANG,RT 009 RW 03 DUSUN BAWING,,"003","61",,,BUMBUN,KALIMANTAN BARAT,,,,,,2024_1,,"6104121003001000","00",,
,"617426","0",,0.075219333431781,,"61041210060009","04","121","0009",MEMPAWAH,SADANIANG,RT 008 RW 03 DUSUN GURO,,"006","61",,,SUAK BARANGAN,KALIMANTAN BARAT,,,,,,2024_1,,"6104121006000900","00",,
,"617425","0",,0.199357311883128,,"61041210040010","04","121","0010",MEMPAWAH,SADANIANG,RT 012 RW 04 DUSUN PENDENG,,"004","61",,,AMAWANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104121004001000","00",,
,"617403","0",,4.7348507743585,,"61041210030008","04","121","0008",MEMPAWAH,SADANIANG,RT 007 RW 05 DUSUN SATAK,,"003","61",,,BUMBUN,KALIMANTAN BARAT,,,,,,2024_1,,"6104121003000800","00",,
,"617402","0",,0.477022349066617,,"61040900110016","04","090","0016",MEMPAWAH,SUNGAI PINYUH,RT 014 RW 04 DUSUN TIMUR,,"011","61",,,SUNGAI BAKAU BESAR LAUT,KALIMANTAN BARAT,,,,,,2024_1,,"6104090011001600","00",,
,"617401","0",,5.56676525362395,,"61041200040011","04","120","0011",MEMPAWAH,TOHO,RT 010 RW 04 DUSUN 004,,"004","61",,,PAK UTAN,KALIMANTAN BARAT,,,,,,2024_1,,"6104120004001100","00",,
,"617400","0",,1.57138104873144,,"61041200050009","04","120","0009",MEMPAWAH,TOHO,RT 013 RW 03 DUSUN SEPANG,,"005","61",,,SEPANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104120005000900","00",,
,"617399","0",,1.76367390702366,,"61041200040006","04","120","0006",MEMPAWAH,TOHO,RT 006 RW 03 DUSUN 002,,"004","61",,,PAK UTAN,KALIMANTAN BARAT,,,,,,2024_1,,"6104120004000600","00",,
,"617398","0",,0.839307282622516,,"61040800030023","04","080","0023",MEMPAWAH,JONGKAT,RT 006 RW 05 DUSUN KOPI,,"003","61",,,WAJOK HILIR,KALIMANTAN BARAT,,,,,,2024_1,,"6104080003002300","00",,
,"617397","0",,4.07927263821942,,"61041210030007","04","121","0007",MEMPAWAH,SADANIANG,RT 006 RW 05 DUSUN SATAK,,"003","61",,,BUMBUN,KALIMANTAN BARAT,,,,,,2024_1,,"6104121003000700","00",,
,"617424","0",,0.208452644574644,,"61041210020010","04","121","0010",MEMPAWAH,SADANIANG,RT 010 RW 06 DUSUN GELOMBANG,,"002","61",,,SEKABUK,KALIMANTAN BARAT,,,,,,2024_1,,"6104121002001000","00",,
,"617396","0",,1.95005963786052,,"61040910060018","04","091","0018",MEMPAWAH,ANJONGAN,RT 018 RW 04 DUSUN KEPAYANG,,"006","61",,,KEPAYANG,KALIMANTAN BARAT,,,,,,2024_1,,"6104091006001800","00",,
,"617395","0",,1.40180004856232,,"61040810040010","04","081","0010",MEMPAWAH,SEGEDONG,RT 010 RW 004 DUSUN ASAM,,"004","61",,,PARIT BUGIS,KALIMANTAN BARAT,,,,,,2024_1,,"6104081004001000","00",,
,"617394","0",,1.19056636814567,,"61040900120001","04","090","0001",MEMPAWAH,SUNGAI PINYUH,RT 001 RW 01 DUSUN PARIT KURUS,,"012","61",,,SUNGAI BAKAU BESAR DARAT,KALIMANTAN BARAT,,,,,,2024_1,,"6104090012000100","00",,
,"617393","0",,3.32323425089291,,"61040800060005","04","080","0005",MEMPAWAH,JONGKAT,RT 001 RW 02 DUSUN KARYA BHAKTI,,"006","61",,,PENITI LUAR,KALIMANTAN BARAT,,,,,,2024_1,,"6104080006000500","00",,
,"617392","0",,1.66938866690152,,"61040800060001","04","080","0001",MEMPAWAH,JONGKAT,RT 001 RW 01 DUSUN KARYA BHAKTI,,"006","61",,,PENITI LUAR,KALIMANTAN BARAT,,,,,,2024_1,,"6104080006000100","00",,
,"617423","0",,0.479440118411616,,"61041210020007","04","121","0007",MEMPAWAH,SADANIANG,RT 007 RW 05 DUSUN TITI DAHAN,,"002","61",,,SEKABUK,KALIMANTAN BARAT,,,,,,2024_1,,"6104121002000700","00",,
,"617391","0",,3.92176861101421,,"61041210030013","04","121","0013",MEMPAWAH,SADANIANG,RT 011 RW 04 DUSUN NANGKA,,"003","61",,,BUMBUN,KALIMANTAN BARAT,,,,,,2024_1,,"6104121003001300","00",,
,"617390","0",,2.03490234006234,,"61040810010017","04","081","0017",MEMPAWAH,SEGEDONG,RT 017 RW 005 DUSUN AMBO PINANG,,"001","61",,,PENITI DALAM I,KALIMANTAN BARAT,,,,,,2024_1,,"6104081001001700","00",,
